matrix,alg,bw_mbps,rtt_ms,loss_pct,loss_corr,buffer_pkts,bdp_multiplier,video_throughput_mbps,video_jitter_mbps,video_rebuf_ratio,web_avg_ttfb_s,web_plt_s,large_throughput_mbps,large_fct_s
Loss_Bursty_2%,cubic,100,50,2.0,25,4166,10.0,62.47785894156039,9.789116993246509,0.0,0.101801,1.019222,0.012694929864430687,0.102088
Loss_None,bbr,100,50,0,0,416,1.0,62.610291806787224,9.81672107161017,0.0,0.1018556,1.019839,0.012726469288555016,0.101835
Loss_0.001%,bbr,100,50,0.001,0,416,1.0,62.50627082677086,9.80116242619466,0.0,0.1015508,1.0164980000000001,0.012700403747403081,0.102044
Loss_1.0%,bbr,100,50,1.0,0,416,1.0,62.63833958724902,9.81853329960468,0.0,0.1017536,1.0186179999999998,0.012750007378476492,0.101647
Loss_2.0%,bbr,100,50,2.0,0,416,1.0,62.04480573088381,10.30977262419385,0.0,0.1017258,1.018602,0.012745618693574084,0.101682
Loss_Bursty_2%,bbr,100,50,2.0,25,416,1.0,62.56137925642748,9.801313581798384,0.0,0.1014678,1.0156809999999998,0.012559113109543375,0.103192
Loss_None,bbr,100,50,0,0,833,2.0,62.52260076479746,9.798086307069271,0.0,0.1015192,1.016101,0.012690703276473238,0.102122
Loss_0.001%,bbr,100,50,0.001,0,833,2.0,62.46239503880756,9.783647225656985,0.0,0.101805,1.019295,0.011438961314068333,0.113297
Loss_1.0%,bbr,100,50,1.0,0,833,2.0,62.65027494984666,9.823163722972277,0.0,0.1015693,1.01687,0.012617313758323923,0.102716
Loss_2.0%,bbr,100,50,2.0,0,833,2.0,62.487361253253056,9.79038319330064,0.0,0.1019054,1.02018,0.01272684421399953,0.101832
Loss_Bursty_2%,bbr,100,50,2.0,25,833,2.0,62.64314598024239,9.826875311537552,0.0,0.1017969,1.019236,0.012737100737100738,0.10175
Loss_None,bbr,100,50,0,0,2083,5.0,62.48369540060463,9.788932527629294,0.0,0.1016366,1.017413,0.012755277791447271,0.101605
